search_name,uuid,occurrenceid,catalognumber,family,genus,scientificname,country,stateprovince,geopoint.lon,geopoint.lat,datecollected,collector,recordset,year
Solanum argentinum,86b41134-814d-4fa0-87ef-f3cad827dee2,http://n2t.net/ark:/65665/30fd4ff2e-df4e-4a17-8d13-91732d5b1cd0,us 3595601,solanaceae,solanum,solanum argentinum,bolivia,tarija,-63.4472,-21.2694,2006-02-09,m. nee & i. linneo,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,2006
Solanum argentinum,87c451d3-44f5-4af0-bb3e-658f9417f343,http://n2t.net/ark:/65665/3fa15ad23-0eae-423b-8d8e-18764ac60e98,us 1904730,solanaceae,solanum,solanum argentinum,argentina,córdoba,-63.5,-29.83,1943-04-01,h. h. bartlett,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,1943
Solanum argentinum,888bc2c8-16de-41e8-aa81-1ca4071402ea,http://n2t.net/ark:/65665/3b4243b2e-f3c6-4585-937f-062589d597bf,us 1931619,solanaceae,solanum,solanum argentinum,argentina,santiago del estero,-64.32,-26.1,1944-06-11,a. gramaja,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,1944
Solanum argentinum,8a819abd-a234-4493-ac70-7d3cfeab6365,http://n2t.net/ark:/65665/3e26c9b0d-06f7-4005-a855-13451d93c1b5,us 2710681,solanaceae,solanum,solanum argentinum,argentina,corrientes,-58.83,-27.47,1969-05-07,t. c. plowman,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,1969
Solanum argentinum,8af6da9f-23f6-45a6-ad9e-b74833ad27c2,http://n2t.net/ark:/65665/31e67d487-15d2-4110-8de9-9fb85b56c02f,us 2900675,solanaceae,solanum,solanum argentinum,argentina,chaco,-60.53,-27.57,1951-01-27,a. g. schulz,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,1951
Solanum argentinum,8c24d603-f615-4819-a699-dc76971b6cc7,http://n2t.net/ark:/65665/3b15ec87e-eb66-4469-bcfb-e8c43f3c0b67,us 1904619,solanaceae,solanum,solanum argentinum,argentina,salta,-65.42,-25.25,1943-02-15,h. h. bartlett,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,1943
Solanum argentinum,908aa5e6-5ce3-4b2f-9174-942c67f776db,http://n2t.net/ark:/65665/3057b0f0b-01cb-4b11-bbdc-3abd2d8221b2,us 1934429,solanaceae,solanum,solanum argentinum,argentina,jujuy,-65.1,-24.38,1910-02-02,m. lillo,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,1910
Solanum argentinum,a33659e7-8774-4eab-a266-a8a0733224a2,http://n2t.net/ark:/65665/34c51e17f-5812-431c-ad2e-3dcf4e708da8,us 1549024,solanaceae,solanum,solanum argentinum,argentina,tucumán,-65.3,-26.15,1927-02-07,s. venturi,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,1927
Solanum argentinum,a66b8cf2-00f2-455a-bf94-e94f9c0ccfb2,http://n2t.net/ark:/65665/3ad638ce7-9c65-4cee-b7ab-d45f63ea6736,us 3503823,solanaceae,solanum,solanum argentinum,bolivia,santa cruz,-63.3914,-20.4001,2005-05-27,m. nee,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,2005
Solanum argentinum,a7d128df-8e84-4a42-8015-88d2c7d51aa2,http://n2t.net/ark:/65665/30fc02dc5-293f-486e-9401-c803a6873691,us 1343289,solanaceae,solanum,solanum argentinum,argentina,tucumán,-65.37,-26.48,1924-01-13,s. venturi,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,1924
